"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\MonsterSearchRight.js", "JavaScript", 0, 112, 0, 0, 0, 0, 2, 17, 131
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\MonsterSize.css", "CSS", 0, 0, 42, 0, 0, 0, 5, 6, 53
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\MonsterSize.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\MonsterStatsBarChart.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 13, 111
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\MonsterVulnerabilities.css", "CSS", 0, 0, 41, 0, 0, 0, 5, 5, 51
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\MonsterVulnerabilities.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 6, 44
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\Navbar.css", "CSS", 0, 0, 35, 0, 0, 0, 3, 6, 44
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\Navbar.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 7, 52
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\RecentCRChart.js", "JavaScript", 0, 73, 0, 0, 0, 0, 3, 7, 83
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\SearchMonstersButton.css", "CSS", 0, 0, 22, 0, 0, 0, 2, 2, 26
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\SearchMonstersButton.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\SingleAttributeRadarGraph.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\components\SingleAttributeRadarGraph.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 11, 100
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\pages\ComparisonPage.css", "CSS", 0, 0, 99, 0, 0, 0, 15, 16, 130
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\pages\ComparisonPage.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 17, 103
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\pages\EnhancedComparisonPage.css", "CSS", 0, 0, 165, 0, 0, 0, 0, 17, 182
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\pages\EnhancedComparisonPage.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 14, 134
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\pages\LandingPage.css", "CSS", 0, 0, 128, 0, 0, 0, 14, 25, 167
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\pages\LandingPage.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 11, 58
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\pages\TimelinePage.css", "CSS", 0, 0, 22, 0, 0, 0, 2, 4, 28
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\pages\TimelinePage.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\User\Documents\GitHub\Formative-One-BeastBinder\beastbinder-app\src\utils\api.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
"Total", "-", 38, 1332, 1212, 17704, 13, 25, 141, 422, 20887
